TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
CAMB3;9,15;11,55;5,86;1,24;0,98;48,58;18,02;16,77;5,45;4,59;-0,87;-0,20;0,98;2,82;-2,02;3,04;21,24;16,65;17,34;0,78;0,22;0,99;14,78;26,72;364.765,04;7,35;1,56;-0,51;386.816.982,00
CSED3;6,54;7,42;9,44;1,44;0,50;50,81;21,95;9,18;3,95;4,65;0,70;0,26;0,87;6,96;-0,65;1,44;15,25;5,28;20,33;0,35;0,65;0,58;11,74;15,88;5.182.157,96;4,54;0,69;0,17;2.384.108.290,08
CYRE3;30,51;12,45;7,65;1,34;0,56;32,51;24,72;20,95;6,48;8,02;1,53;0,32;1,60;1,34;-1,34;3,51;17,45;7,30;10,25;0,42;0,54;0,35;15,17;34,36;176.733.243,35;22,84;3,99;0,25;13.936.968.000,00
DEXP3;7,30;12,90;5,75;0,86;0,56;15,81;10,66;7,08;3,81;3,47;-0,35;-0,08;0,41;1,21;-1,58;3,48;15,00;9,70;12,78;0,65;0,35;1,37;17,81;44,31;1.517.433,26;8,46;1,27;-1,27;898.103.205,90
ITSA3;13,56;12,83;9,56;1,65;1,34;23,52;213,64;193,63;8,66;8,92;0,25;0,05;18,51;28,88;-1,47;2,18;17,22;14,03;16,30;0,81;0,15;0,07;10,46;9,06;3.386.855,70;8,24;1,42;0,72;152.204.794.674,86
ITSA4;13,58;13,03;9,57;1,65;1,34;23,52;213,64;193,63;8,68;8,92;0,25;0,05;18,53;28,92;-1,47;2,18;17,22;14,03;16,30;0,81;0,15;0,07;10,46;9,06;445.115.855,13;8,24;1,42;0,72;152.204.794.674,86
LPSB3;1,83;11,53;6,68;1,04;0,65;78,84;23,39;19,46;5,56;3,75;-1,80;-0,34;1,30;3,82;-0,96;2,13;15,55;9,77;11,21;0,63;0,39;0,50;5,45;;521.120,26;1,76;0,27;0,03;270.024.974,73
PETR3;39,85;8,21;6,63;1,21;0,42;48,15;26,52;15,77;3,94;6,25;2,41;0,74;1,05;-15,56;-0,48;0,82;18,33;6,40;7,19;0,35;0,65;0,41;10,18;14,07;567.679.467,09;32,81;6,01;-0,78;500.925.652.312,78
PETR4;37,52;8,72;6,24;1,14;0,40;48,15;26,52;15,77;3,71;6,25;2,41;0,74;0,98;-14,65;-0,46;0,82;18,33;6,40;7,19;0,35;0,65;0,41;10,18;14,07;1.574.736.433,48;32,81;6,01;-0,74;500.925.652.312,78
RANI3;9,00;8,15;5,32;1,45;0,55;41,53;25,36;23,03;4,83;7,34;2,51;0,75;1,22;2,53;-0,82;2,85;27,22;10,32;12,02;0,38;0,62;0,45;12,61;;5.677.854,96;6,22;1,69;0,03;2.074.510.971,00
SHUL4;5,32;11,63;7,28;1,22;0,65;24,97;12,75;13,04;7,45;20,10;-0,51;-0,08;0,95;1,51;-1,89;2,93;16,80;8,94;9,82;0,53;0,47;0,69;12,91;21,85;2.149.528,52;4,35;0,73;-1,81;5.258.947.709,96
